Sample,ACCUMULATION_LEVEL,READS_USED,GC,WINDOWS,READ_STARTS,MEAN_BASE_QUALITY,NORMALIZED_COVERAGE,ERROR_BAR_WIDTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,All Reads,ALL,2,116883,24,8,0.003032,0.000619,,,
CAP41WGS_MO026,All Reads,ALL,3,148757,40,10,0.003971,0.000628,,,
CAP41WGS_MO026,All Reads,ALL,4,164256,42,6,0.003776,0.000583,,,
CAP41WGS_MO026,All Reads,ALL,5,169310,54,10,0.00471,0.000641,,,
CAP41WGS_MO026,All Reads,ALL,6,190654,83,9,0.006429,0.000706,,,
CAP41WGS_MO026,All Reads,ALL,7,204746,122,10,0.008799,0.000797,,,
CAP41WGS_MO026,All Reads,ALL,8,232995,118,11,0.007479,0.000688,,,
CAP41WGS_MO026,All Reads,ALL,9,259590,180,10,0.010239,0.000763,,,
CAP41WGS_MO026,All Reads,ALL,10,302920,267,10,0.013016,0.000797,,,
CAP41WGS_MO026,All Reads,ALL,48,75098809,6752357,7,1.327742,0.000511,,,
CAP41WGS_MO026,All Reads,ALL,11,368095,347,10,0.013921,0.000747,,,
CAP41WGS_MO026,All Reads,ALL,13,625571,922,10,0.021764,0.000717,,,
CAP41WGS_MO026,All Reads,ALL,14,882957,1388,10,0.023214,0.000623,,,
CAP41WGS_MO026,All Reads,ALL,15,1295451,2642,10,0.030116,0.000586,,,
CAP41WGS_MO026,All Reads,ALL,16,1934534,4274,10,0.032625,0.000499,,,
CAP41WGS_MO026,All Reads,ALL,17,2903580,7599,10,0.038647,0.000443,,,
CAP41WGS_MO026,All Reads,ALL,18,4351124,12575,10,0.042677,0.000381,,,
CAP41WGS_MO026,All Reads,ALL,19,6421186,21131,10,0.048596,0.000334,,,
CAP41WGS_MO026,All Reads,ALL,20,9272096,34085,9,0.054285,0.000294,,,
CAP41WGS_MO026,All Reads,ALL,21,13036310,54112,9,0.061296,0.000264,,,
CAP41WGS_MO026,All Reads,ALL,22,17792869,83359,9,0.069183,0.00024,,,
CAP41WGS_MO026,All Reads,ALL,12,476417,562,10,0.01742,0.000735,,,
CAP41WGS_MO026,All Reads,ALL,49,71799062,6751642,7,1.388616,0.000534,,,
CAP41WGS_MO026,All Reads,ALL,1,100510,12,8,0.001763,0.000509,,,
CAP41WGS_MO026,All Reads,ALL,51,62773212,6624291,6,1.558319,0.000605,,,
CAP41WGS_MO026,All Reads,ALL,77,919915,391191,5,6.279609,0.01004,,,
CAP41WGS_MO026,All Reads,ALL,78,817829,318036,5,5.742556,0.010183,,,
CAP41WGS_MO026,All Reads,ALL,79,712822,253584,5,5.2533,0.010432,,,
CAP41WGS_MO026,All Reads,ALL,80,607258,194815,5,4.737406,0.010733,,,
CAP41WGS_MO026,All Reads,ALL,81,510873,147594,4,4.266259,0.011105,,,
CAP41WGS_MO026,All Reads,ALL,82,429147,109474,4,3.767006,0.011385,,,
CAP41WGS_MO026,All Reads,ALL,83,353190,75845,4,3.1711,0.011515,,,
CAP41WGS_MO026,All Reads,ALL,84,276592,50344,4,2.687816,0.011979,,,
CAP41WGS_MO026,All Reads,ALL,85,201005,32026,4,2.352812,0.013147,,,
CAP41WGS_MO026,All Reads,ALL,86,134431,19410,4,2.132149,0.015304,,,
CAP41WGS_MO026,All Reads,ALL,76,1047677,478409,5,6.743158,0.009749,,,
CAP41WGS_MO026,All Reads,ALL,87,88181,11428,4,1.913756,0.017902,,,
CAP41WGS_MO026,All Reads,ALL,89,39446,3563,4,1.333842,0.022346,,,
CAP41WGS_MO026,All Reads,ALL,90,25762,2094,4,1.200296,0.02623,,,
CAP41WGS_MO026,All Reads,ALL,91,16609,1376,4,1.223394,0.03298,,,
CAP41WGS_MO026,All Reads,ALL,92,9922,826,4,1.229341,0.042774,,,
CAP41WGS_MO026,All Reads,ALL,93,6255,617,4,1.45663,0.058642,,,
CAP41WGS_MO026,All Reads,ALL,94,3553,575,5,2.389814,0.099662,,,
CAP41WGS_MO026,All Reads,ALL,95,1701,687,7,5.964085,0.227544,,,
CAP41WGS_MO026,All Reads,ALL,96,986,382,8,5.721078,0.292716,,,
CAP41WGS_MO026,All Reads,ALL,97,658,1167,10,26.190054,0.766657,,,
CAP41WGS_MO026,All Reads,ALL,50,67632983,6702914,7,1.463513,0.000565,,,
CAP41WGS_MO026,All Reads,ALL,88,60854,6825,4,1.65617,0.020047,,,
CAP41WGS_MO026,All Reads,ALL,75,1217720,591576,5,7.173887,0.009327,,,
CAP41WGS_MO026,All Reads,ALL,98,328,1542,10,69.422774,1.767908,,,
CAP41WGS_MO026,All Reads,ALL,73,1761175,889639,5,7.45938,0.007909,,,
CAP41WGS_MO026,All Reads,ALL,74,1450253,725702,5,7.389346,0.008674,,,
CAP41WGS_MO026,All Reads,ALL,52,57747767,6473376,6,1.655339,0.000651,,,
CAP41WGS_MO026,All Reads,ALL,53,53057696,6329911,6,1.761735,0.0007,,,
CAP41WGS_MO026,All Reads,ALL,54,48882375,6177314,6,1.866117,0.000751,,,
CAP41WGS_MO026,All Reads,ALL,55,45201564,6018061,6,1.96605,0.000801,,,
CAP41WGS_MO026,All Reads,ALL,56,41654980,5844514,6,2.07192,0.000857,,,
CAP41WGS_MO026,All Reads,ALL,58,33727560,5428517,6,2.376773,0.00102,,,
CAP41WGS_MO026,All Reads,ALL,59,29225947,5185443,6,2.620045,0.001151,,,
CAP41WGS_MO026,All Reads,ALL,60,24712094,4916434,6,2.937867,0.001325,,,
CAP41WGS_MO026,All Reads,ALL,61,20544801,4634339,6,3.33102,0.001547,,,
CAP41WGS_MO026,All Reads,ALL,57,37884218,5627123,6,2.193408,0.000925,,,
CAP41WGS_MO026,All Reads,ALL,63,14048460,3973870,6,4.177114,0.002095,,,
CAP41WGS_MO026,All Reads,ALL,64,11623423,3642945,6,4.628177,0.002425,,,
CAP41WGS_MO026,All Reads,ALL,65,9600303,3280689,6,5.046282,0.002786,,,
CAP41WGS_MO026,All Reads,ALL,66,7922087,2942289,6,5.484501,0.003197,,,
CAP41WGS_MO026,All Reads,ALL,72,2160214,1083894,5,7.409373,0.007117,,,
CAP41WGS_MO026,All Reads,ALL,67,6448434,2582160,5,5.913169,0.00368,,,
